sampleID	subject	time
01-00	1	0.0
01-01	1	1.0
01-02	1	2.0
01-04	1	4.0
01-06	1	6.0
01-09	1	9.0
01-11	1	11.0
01-12	1	12.0
01-14	1	14.0
01-15	1	15.0
01-16	1	16.0
01-18	1	18.0
01-20	1	20.0
01-24	1	24.0
01-25	1	25.0
01-26	1	26.0
01-28	1	28.0
01-29	1	29.0
01-30	1	30.0
01-32	1	32.0
01-34	1	34.0
01-37	1	37.0
01-39	1	39.0
01-40	1	40.0
01-41	1	41.0
02-00	2	0.0
02-01	2	1.0
02-02	2	2.0
02-04	2	4.0
02-06	2	6.0
02-09	2	9.0
02-11	2	11.0
02-12	2	12.0
02-14	2	14.0
02-15	2	15.0
02-16	2	16.0
02-18	2	18.0
02-20	2	20.0
02-24	2	24.0
02-25	2	25.0
02-26	2	26.0
02-28	2	28.0
02-29	2	29.0
02-30	2	30.0
02-32	2	32.0
02-34	2	34.0
02-37	2	37.0
02-39	2	39.0
02-40	2	40.0
02-41	2	41.0
03-00	3	0.0
03-01	3	1.0
03-02	3	2.0
03-04	3	4.0
03-06	3	6.0
03-09	3	9.0
03-11	3	11.0
03-12	3	12.0
03-14	3	14.0
03-15	3	15.0
03-16	3	16.0
03-18	3	18.0
03-20	3	20.0
03-24	3	24.0
03-25	3	25.0
03-26	3	26.0
03-28	3	28.0
03-29	3	29.0
03-30	3	30.0
03-32	3	32.0
03-34	3	34.0
03-37	3	37.0
03-39	3	39.0
03-40	3	40.0
03-41	3	41.0
04-00	4	0.0
04-01	4	1.0
04-02	4	2.0
04-04	4	4.0
04-06	4	6.0
04-09	4	9.0
04-11	4	11.0
04-12	4	12.0
04-14	4	14.0
04-15	4	15.0
04-16	4	16.0
04-18	4	18.0
04-20	4	20.0
04-24	4	24.0
04-25	4	25.0
04-26	4	26.0
04-28	4	28.0
04-29	4	29.0
04-30	4	30.0
04-32	4	32.0
04-34	4	34.0
04-37	4	37.0
04-39	4	39.0
04-40	4	40.0
04-41	4	41.0
05-00	5	0.0
05-01	5	1.0
05-02	5	2.0
05-04	5	4.0
05-06	5	6.0
05-09	5	9.0
05-11	5	11.0
05-12	5	12.0
05-14	5	14.0
05-15	5	15.0
05-16	5	16.0
05-18	5	18.0
05-20	5	20.0
05-24	5	24.0
05-25	5	25.0
05-26	5	26.0
05-28	5	28.0
05-29	5	29.0
05-30	5	30.0
05-32	5	32.0
05-34	5	34.0
05-37	5	37.0
05-39	5	39.0
05-40	5	40.0
05-41	5	41.0
06-00	6	0.0
06-01	6	1.0
06-02	6	2.0
06-04	6	4.0
06-06	6	6.0
06-09	6	9.0
06-11	6	11.0
06-12	6	12.0
06-14	6	14.0
06-15	6	15.0
06-16	6	16.0
06-18	6	18.0
06-20	6	20.0
06-24	6	24.0
06-25	6	25.0
06-26	6	26.0
06-28	6	28.0
06-29	6	29.0
06-30	6	30.0
06-32	6	32.0
06-34	6	34.0
06-37	6	37.0
06-39	6	39.0
06-40	6	40.0
06-41	6	41.0
07-00	7	0.0
07-01	7	1.0
07-02	7	2.0
07-04	7	4.0
07-06	7	6.0
07-09	7	9.0
07-11	7	11.0
07-12	7	12.0
07-14	7	14.0
07-15	7	15.0
07-16	7	16.0
07-18	7	18.0
07-20	7	20.0
07-24	7	24.0
07-25	7	25.0
07-26	7	26.0
07-28	7	28.0
07-29	7	29.0
07-30	7	30.0
07-32	7	32.0
07-34	7	34.0
07-37	7	37.0
07-39	7	39.0
07-40	7	40.0
07-41	7	41.0
08-00	8	0.0
08-01	8	1.0
08-02	8	2.0
08-04	8	4.0
08-06	8	6.0
08-09	8	9.0
08-11	8	11.0
08-12	8	12.0
08-14	8	14.0
08-15	8	15.0
08-16	8	16.0
08-18	8	18.0
08-20	8	20.0
08-24	8	24.0
08-25	8	25.0
08-26	8	26.0
08-28	8	28.0
08-29	8	29.0
08-30	8	30.0
08-32	8	32.0
08-34	8	34.0
08-37	8	37.0
08-39	8	39.0
08-40	8	40.0
08-41	8	41.0
09-00	9	0.0
09-01	9	1.0
09-02	9	2.0
09-04	9	4.0
09-06	9	6.0
